"construction_info","description","start_dt","end_dt","longitude","latitude","point"
"10 Street at 12 Avenue SW","Road closure on 10 Street between 12 and 13 Avenue SW","2023-07-07T14:00:00.000","2024-06-02T15:00:00.000","-114.08644204257392","51.042077701862375","POINT (-114.08644204257392 51.042077701862375)"
"Macleod Trail at 11 Avenue SE","Northbound Macleod Trail at 11 Avenue SE, left lane closure","2024-01-04T09:00:00.000","2024-01-04T15:00:00.000","-114.05836675377209","51.042237487261914","POINT (-114.05836675377209 51.042237487261914)"
"12 Avenue and Centre Street SW","Southbound Centre Street SW left lane closed at 12 Avenue SW","2024-01-02T09:00:00.000","2024-01-04T15:00:00.000","-114.0633968490354","51.04166285000066","POINT (-114.0633968490354 51.04166285000066)"
"7 Street at between 8 Avenue and 9 Avenue SW","The southbound right lane is closed.","2024-01-03T12:00:00.000","2024-01-06T23:00:00.000","-114.07886849844238","51.045544821006224","POINT (-114.07886849844238 51.045544821006224)"
"33 Avenue at 21 Street SW","Expect delays in the area.","2023-12-04T08:00:00.000","2024-03-31T12:00:00.000","-114.11190237139597","51.0239836302711","POINT (-114.11190237139597 51.0239836302711)"
"3 Street SE between 10 Avenue SE and 11 Avenue SE","Southbound closures of 3 Street between 10 Avenue and 11 Avenue SE","2024-01-03T07:00:00.000","2024-02-15T19:00:00.000","-114.05586462282915","51.04263237061256","POINT (-114.05586462282915 51.04263237061256)"
"Coral Shores Drive at Coral Shores Landing NE","Road closed - local traffic only","2023-12-29T07:00:00.000","2024-01-05T19:00:00.000","-113.9299548890143","51.10396220634283","POINT (-113.9299548890143 51.10396220634283)"
"Olympic Way between 11 Avenue and 12 Avenue SE","Various lane closures. Expect delays in the area.","2024-01-04T07:00:00.000","2024-01-15T19:00:00.000","-114.0534493561145","51.04209034015604","POINT (-114.0534493561145 51.04209034015604)"
"10 Street at 12 Avenue SW","Road closures","2023-11-01T13:27:00.000","2024-06-01T15:00:00.000","-114.08644198837833","51.042077697407585","POINT (-114.08644198837833 51.042077697407585)"
"7 Street between 14 Avenue and 18 Avenue SW","Lane closure on 7 ST SW between 14 AV SW and 18 AV SW","2024-01-02T21:00:00.000","2024-01-04T05:00:00.000","-114.07920498984109","51.039987047612506","POINT (-114.07920498984109 51.039987047612506)"
"14 Street at Canyon Meadows Drive SW","14 ST SW now opened but with (24/7) construction and 50 km/h reduced speed zone (working adjacent to roadway)","2023-11-24T10:00:00.000","2024-01-08T12:00:00.000","-114.0945764911204","50.94051638787863","POINT (-114.0945764911204 50.94051638787863)"
"Edmonton Drive and Memorial Drive","Northbound one lane closure, Westbound right turning lane closure.","2024-01-03T08:00:00.000","2024-01-07T18:00:00.000","-114.04981864929437","51.050718310363244","POINT (-114.04981864929437 51.050718310363244)"
"4 Street between 6 Avenue and 4 Avenue SW","Two left lanes are closed northbound.","2024-01-08T09:00:00.000","2024-03-11T15:00:00.000","-114.07147910086277","51.04768868028355","POINT (-114.07147910086277 51.04768868028355)"
"17 Avenue between 8 Street and 7 Street SW","Daily from 9 AM to 3 PM the right lane is closed eastbound.","2023-11-07T09:00:00.000","2024-01-31T00:00:00.000","-114.08179134402855","51.03781478246516","POINT (-114.08179134402855 51.03781478246516)"
"17 Avenue at 7 Street SW","Southbound lane closure on at 17 Avenue and 7 Street SW intersection","2024-01-09T08:00:00.000","2024-01-09T17:00:00.000","-114.07935812664489","51.03781286407792","POINT (-114.07935812664489 51.03781286407792)"
"Sierra Morena Terrace at Sierra Morena Boulevard SW","The road is closed. Local access only.","2024-01-08T07:00:00.000","2024-01-16T19:00:00.000","-114.17821593476539","51.020040655339166","POINT (-114.17821593476539 51.020040655339166)"
"Dalhousie Drive NW at Shaganappi Trail NW","Multiple lane closures along Dalhousie Drive NW and Shaganappi Trail NW","2023-12-05T23:00:00.000","2024-01-06T05:00:00.000","-114.14369287627692","51.102945491715474","POINT (-114.14369287627692 51.102945491715474)"
"1 ST between 10 AV and 11 AV SW","Southbound right lane closure on 1 Street SW between 10 and 11 Avenue SW","2024-01-03T09:00:00.000","2024-01-04T15:00:00.000","-114.06567955579371","51.04298532842992","POINT (-114.06567955579371 51.04298532842992)"
"3 Street SE between 11 Avenue SE and 12 Avenue SE","Northbound only during day hours on weekdays, 24 hours on weekends. Two way traffic is maintained during night hours on weekdays","2024-01-03T07:00:00.000","2024-02-15T19:00:00.000","-114.05592002361622","51.041744607504576","POINT (-114.05592002361622 51.041744607504576)"
